"Clube","Ano","R19","R38","ID"
"Ceará",2017,4,3,"Ceará2017"
"CRB",2017,7,15,"CRB2017"
"Criciúma",2017,12,13,"Criciúma2017"
"Figueirense",2017,17,12,"Figueirense2017"
"Goiás",2017,14,14,"Goiás2017"
"Guarani",2017,6,16,"Guarani2017"
"Internacional",2017,2,2,"Internacional2017"
"Juventude",2017,5,9,"Juventude2017"
"Londrina",2017,10,5,"Londrina2017"
"Luverdense",2017,18,17,"Luverdense2017"
"Náutico",2017,20,20,"Náutico2017"
"Oeste",2017,11,6,"Oeste2017"
"Paraná",2017,9,4,"Paraná2017"
"Paysandu",2017,15,11,"Paysandu2017"
"Santa Cruz",2017,16,18,"Santa Cruz2017"
"Vila Nova",2017,3,7,"Vila Nova2017"
"Atlético-GO",2018,4,6,"Atlético-GO2018"
"Avaí",2018,7,3,"Avaí2018"
"Boa",2018,20,20,"Boa2018"
"Brasil",2018,16,11,"Brasil2018"
"Coritiba",2018,8,10,"Coritiba2018"
"CRB",2018,18,12,"CRB2018"
"Criciúma",2018,14,14,"Criciúma2018"
"CSA",2018,2,2,"CSA2018"
"Figueirense",2018,6,15,"Figueirense2018"
"Fortaleza",2018,1,1,"Fortaleza2018"
"Goiás",2018,9,4,"Goiás2018"
"Guarani",2018,5,9,"Guarani2018"
"Juventude",2018,13,19,"Juventude2018"
"Londrina",2018,17,8,"Londrina2018"
"Oeste",2018,15,16,"Oeste2018"
"Paysandu",2018,11,17,"Paysandu2018"
"Ponte Preta",2018,10,5,"Ponte Preta2018"
"Sampaio Corrêa",2018,19,18,"Sampaio Corrêa2018"
"São Bento",2018,12,13,"São Bento2018"
"Vila Nova",2018,3,7,"Vila Nova2018"
"América-MG",2019,13,5,"América-MG2019"
"Atlético-GO",2019,3,4,"Atlético-GO2019"
"Botafogo-SP",2019,9,9,"Botafogo-SP2019"
"Bragantino",2019,1,1,"Bragantino2019"
"Brasil",2019,12,14,"Brasil2019"
"Coritiba",2019,2,3,"Coritiba2019"
"CRB",2019,8,7,"CRB2019"
"Criciúma",2019,14,19,"Criciúma2019"
"Cuiabá",2019,5,8,"Cuiabá2019"
"Figueirense",2019,15,16,"Figueirense2019"
"Guarani",2019,20,13,"Guarani2019"
"Londrina",2019,11,17,"Londrina2019"
"Oeste",2019,19,15,"Oeste2019"
"Operário",2019,6,10,"Operário2019"
"Paraná",2019,7,6,"Paraná2019"
"Ponte Preta",2019,10,11,"Ponte Preta2019"
"São Bento",2019,18,18,"São Bento2019"
"Sport",2019,4,2,"Sport2019"
"Vila Nova",2019,17,20,"Vila Nova2019"
"Vitória",2019,16,12,"Vitória2019"
